iter	RMSE
0	0.8134969784
1	0.8080590701
2	0.8023349849
3	0.7996590139
4	0.796256945
5	0.791158125
6	0.7863516372
7	0.7833936649
8	0.7792855519
9	0.7752116399
10	0.7727530765
11	0.7690003318
12	0.7645998159
13	0.7615416407
14	0.7594218523
15	0.7555760978
16	0.7531676011
17	0.7501589091
18	0.7469131238
19	0.7446727441
20	0.741807438
21	0.7396707943
22	0.737425571
23	0.7353126489
24	0.7337621397
25	0.7309067017
26	0.7290516178
27	0.7275331219
28	0.7261080121
29	0.7240145928
30	0.7225141602
31	0.7207731066
32	0.719500439
33	0.7186824538
34	0.7174076485
35	0.7163665129
36	0.7147336307
37	0.7139449251
38	0.7129719782
39	0.7122014631
40	0.7106595772
41	0.7092631207
42	0.7083745681
43	0.7074507501
44	0.7063789384
45	0.7055898515
46	0.7045620292
47	0.7037001141
48	0.7026884448
49	0.7018590322
50	0.7008715167
51	0.700072786
52	0.6992467148
53	0.6979477268
54	0.6969098438
55	0.6962059706
56	0.6957838589
57	0.6949854184
58	0.6943901327
59	0.6935442816
60	0.6929210139
61	0.6923447183
62	0.6913058036
63	0.6903389159
64	0.6896865591
65	0.6890225532
66	0.6884299479
67	0.6879623891
68	0.6874172958
69	0.6867744813
70	0.6858776878
71	0.6853949854
72	0.6845309227
73	0.6839417014
74	0.6835166292
75	0.6831497821
76	0.6825641451
77	0.6821767419
78	0.6816475641
79	0.6810260447
80	0.6805915429
81	0.6801078866
82	0.679517939
83	0.6790306636
84	0.6785206925
85	0.6781347094
86	0.6777172053
87	0.6771897603
88	0.6767466674
89	0.6764111425
90	0.6761092727
91	0.6758149444
92	0.6754529956
93	0.6750782182
94	0.6748577021
95	0.6743918892
96	0.6739390145
97	0.6735999549
98	0.6732670567
99	0.6730184878
100	0.6727018341
101	0.6722514028
102	0.6719338978
103	0.6715697267
104	0.6711619408
105	0.6707228413
106	0.6703166658
107	0.6699170569
108	0.6695070838
109	0.6693416706
110	0.6689333707
111	0.668570247
112	0.6682457987
113	0.6679739087
114	0.6677406435
115	0.6673521621
116	0.6670647071
117	0.6667379861
118	0.6664670256
119	0.6661652204
120	0.6658738651
121	0.6657545451
122	0.665521092
123	0.6650838668
124	0.664929418
125	0.6647694147
126	0.6643434222
127	0.6640646339
128	0.6636692442
129	0.663419636
130	0.663134958
131	0.6628286847
132	0.6625442927
133	0.6622398165
134	0.6620243023
135	0.661707619
136	0.6614746204
137	0.6609760764
138	0.6608607237
139	0.6605561616
140	0.660064783
141	0.6597832505
142	0.659353983
143	0.6591133367
144	0.6588779839
145	0.6583545905
146	0.6581428999
147	0.6576940154
148	0.6574809458
149	0.6572068424
150	0.6569132639
151	0.6565541838
152	0.656392845
153	0.6560459541
154	0.6556718886
155	0.6552939438
156	0.6551283829
157	0.6548315455
158	0.6544830074
159	0.6541687586
160	0.653972174
161	0.6535397413
162	0.6532631177
163	0.6529470971
164	0.6526095081
165	0.6523984188
166	0.6521810304
167	0.6518731078
168	0.6515196909
169	0.6512917109
170	0.6510270464
171	0.6507150137
172	0.650477103
173	0.650145133
174	0.649907967
175	0.649602682
176	0.6493246678
177	0.6490357574
178	0.6487520452
179	0.6485925928
180	0.6483744715
181	0.6481002092
182	0.6478091063
183	0.6475848298
184	0.647372535
185	0.6472403264
186	0.6468515251
187	0.6465751906
188	0.6460618861
189	0.6456797494
190	0.6453880522
191	0.6450233047
192	0.6448284284
193	0.6445170829
194	0.6442199027
195	0.643906138
196	0.643638938
197	0.6434145297
198	0.6430519223
199	0.6426309978
200	0.6422540375
201	0.6419265223
202	0.6416150778
203	0.6413058708
204	0.6410974398
205	0.6408057395
206	0.6406296786
207	0.6404315792
