iter	Passed	Remaining
0	3	2479
1	5	2183
2	8	2196
3	10	2176
4	13	2156
5	19	2522
6	21	2398
7	23	2345
8	25	2273
9	27	2199
10	30	2167
11	34	2267
12	37	2257
13	39	2208
14	41	2177
15	43	2137
16	45	2102
17	49	2167
18	53	2184
19	55	2163
20	57	2130
21	59	2105
22	61	2080
23	66	2135
24	68	2138
25	71	2120
26	73	2095
27	75	2080
28	77	2063
29	82	2120
30	84	2102
31	86	2087
32	89	2075
33	91	2060
34	93	2047
35	98	2088
36	100	2073
37	102	2061
38	104	2046
39	107	2033
40	109	2021
41	114	2063
42	116	2051
43	118	2043
44	120	2028
45	123	2017
46	125	2005
47	129	2036
48	132	2027
49	134	2022
50	137	2015
51	140	2013
52	146	2064
53	149	2062
54	151	2051
55	153	2040
56	155	2031
57	158	2028
58	163	2053
59	165	2039
60	167	2030
61	169	2019
62	172	2016
63	174	2006
64	179	2025
65	181	2015
66	183	2005
67	185	1994
68	187	1990
69	189	1979
70	194	1993
71	196	1985
72	198	1976
73	200	1965
74	202	1959
75	205	1953
76	207	1948
77	211	1955
78	213	1946
79	215	1938
80	218	1937
81	220	1932
82	223	1930
83	227	1940
84	230	1939
85	233	1939
86	235	1933
87	238	1926
88	240	1925
89	243	1920
90	245	1913
91	247	1907
92	250	1901
93	252	1893
94	254	1889
95	257	1887
96	260	1887
97	263	1884
98	265	1879
99	267	1873
100	269	1867
101	272	1865
102	276	1869
103	278	1863
104	280	1858
105	282	1852
106	285	1845
107	287	1842
108	291	1849
109	294	1845
110	296	1839
111	298	1832
112	300	1827
113	302	1820
114	306	1827
115	309	1825
116	311	1819
117	314	1815
118	316	1808
119	318	1803
120	321	1804
121	324	1804
122	326	1798
123	328	1793
124	331	1789
125	333	1782
126	335	1776
127	360	1891
128	364	1898
129	370	1911
130	374	1914
131	377	1910
132	380	1906
133	382	1901
134	386	1904
135	389	1902
136	392	1898
137	394	1892
138	396	1886
139	399	1882
140	402	1882
141	405	1879
142	407	1874
143	410	1867
144	412	1862
145	414	1857
146	418	1858
147	428	1887
148	430	1882
149	433	1877
150	445	1912
151	447	1906
152	450	1903
153	453	1902
154	455	1896
155	457	1890
156	460	1885
157	462	1878
158	464	1873
159	475	1902
160	483	1917
161	489	1928
162	493	1929
