iter	RMSE
0	2.493777045
1	2.390866394
2	2.308925685
3	2.235346498
4	2.160813038
5	2.092026652
6	2.02660722
7	1.943446274
8	1.88366206
9	1.806809541
10	1.7341368
11	1.667895184
12	1.616902661
13	1.55255073
14	1.494784653
15	1.435429161
16	1.378628442
17	1.330779236
18	1.292181142
19	1.247167359
20	1.19993989
21	1.158221168
22	1.115681897
23	1.08171991
24	1.040297144
25	1.001081275
26	0.9684464095
27	0.9283883983
28	0.8946670663
29	0.8624845709
30	0.8292481957
31	0.7995287911
32	0.7721818839
33	0.7498233068
34	0.7258765808
35	0.707547267
36	0.6829608406
37	0.6590890928
38	0.6369711035
39	0.6144312464
40	0.5939768786
41	0.5794675348
42	0.5617400105
43	0.5419547587
44	0.5245521645
45	0.5052506845
46	0.4942294269
47	0.4761422599
48	0.4615260403
49	0.4471889612
50	0.4341150762
51	0.4185555154
52	0.4053719235
53	0.3926738042
54	0.3822868126
55	0.3707981237
56	0.3601233812
57	0.3499442783
58	0.3406813424
59	0.333485911
60	0.3242656628
61	0.3147218199
62	0.3062788306
63	0.298325218
64	0.2887758008
65	0.2808802757
66	0.2727116709
67	0.26425257
68	0.2581343726
69	0.2542193427
70	0.2474449162
71	0.241443814
72	0.2350376526
73	0.2289681028
74	0.2232175319
75	0.2177835898
76	0.2125373271
77	0.2077670159
78	0.2033064417
79	0.1986776812
80	0.1937040722
81	0.1901596362
82	0.1859478277
83	0.1832658109
84	0.1794976511
85	0.1757973108
86	0.1722858683
87	0.1688095605
88	0.1655914742
89	0.1632625898
90	0.1607552428
91	0.1589185766
92	0.1562691129
93	0.1540514196
94	0.1516741319
95	0.1496345099
96	0.1474862944
97	0.1452160479
98	0.1429326571
99	0.1416096816
100	0.139641625
101	0.1385852235
102	0.1375421794
103	0.136214753
104	0.1344806811
105	0.1325091902
106	0.1310045199
107	0.1297768788
108	0.1281492625
109	0.1266184086
110	0.1253216587
111	0.1239962896
112	0.1225360286
113	0.1212166684
114	0.1203079179
115	0.1196044684
116	0.1185870404
117	0.1177924971
118	0.1170028878
119	0.1163240457
120	0.1151690277
121	0.1137508676
122	0.1127547663
123	0.1115995874
124	0.1111114584
125	0.1101966208
126	0.1095139829
127	0.1087377747
128	0.1076384557
129	0.106906034
130	0.1061301665
131	0.1053684263
132	0.104670146
133	0.104038231
134	0.1038609229
135	0.1032964998
136	0.1019172245
137	0.1012358018
138	0.1005759344
139	0.1000741802
140	0.09943600083
141	0.09881842574
142	0.09809372454
143	0.09750443712
144	0.09691413692
145	0.09645657135
146	0.09590211095
147	0.09532814713
148	0.09471130036
149	0.09402265185
150	0.09351205944
151	0.09281188978
152	0.09232780324
153	0.0919944652
154	0.0915329182
155	0.09035529486
156	0.09000805683
157	0.08931826431
158	0.08879731748
159	0.08849383529
160	0.0880608103
161	0.08772397387
162	0.08736860762
163	0.08716678956
164	0.08607694432
165	0.08560447185
166	0.08525113262
167	0.08500460479
168	0.08476315548
169	0.08436687172
170	0.08400105488
171	0.08338839647
172	0.08308824283
173	0.08211250832
174	0.08185550616
175	0.08134029309
176	0.08092624628
177	0.08068488326
178	0.08008176586
179	0.0797935237
180	0.07937878628
181	0.07903081591
182	0.07873980923
183	0.07837104958
184	0.07811157728
185	0.0776255373
186	0.07750526698
187	0.07728649645
188	0.07690841311
189	0.07671983969
190	0.07603825409
191	0.07566983046
192	0.07546989551
193	0.07517154352
194	0.07471077689
195	0.07437423353
196	0.07397988913
197	0.0737387238
198	0.07347256597
199	0.07316889994
200	0.07295440281
201	0.07258566271
202	0.07247493435
203	0.07179510819
204	0.07154576292
205	0.07138742748
206	0.07103789901
207	0.07089120524
208	0.07077738019
209	0.07010370437
210	0.06987324909
211	0.06948964342
212	0.06921126115
213	0.06897615647
214	0.06872509277
215	0.06854592389
216	0.06830772814
217	0.06808553232
218	0.06777604936
219	0.06744877401
220	0.06714351766
221	0.06680607427
222	0.06631570801
223	0.06625868789
224	0.06602048161
225	0.06572872562
226	0.06545437709
227	0.06531321831
228	0.06506772454
229	0.06495479494
230	0.06485397971
231	0.0644475922
232	0.06409373086
233	0.06394404494
234	0.06382405868
235	0.06364324616
236	0.06346401391
237	0.06328004513
238	0.06309006092
239	0.06287754829
240	0.0625696668
241	0.0624430013
242	0.06227153191
243	0.06211152886
244	0.06194964079
245	0.06178852164
246	0.06164640661
247	0.06108676852
248	0.06097342628
249	0.06091436715
250	0.06063017625
251	0.06024223356
252	0.06010339627
253	0.05988375497
254	0.05972356817
255	0.05937927574
256	0.05902788228
257	0.05880402997
258	0.0585842624
259	0.05839047546
260	0.05820106749
261	0.05778984456
262	0.05768714419
263	0.05749818845
264	0.05730376341
265	0.05708547552
266	0.05670377747
267	0.05666599203
268	0.05639293229
269	0.05612661393
270	0.05570948659
271	0.05552934091
272	0.05540051077
273	0.05523286066
274	0.05499091317
275	0.05476934159
276	0.05466976593
277	0.05451896066
278	0.05443322562
279	0.05427029199
280	0.05402840125
281	0.0538559368
282	0.05360561482
283	0.05328084948
284	0.05291805145
285	0.05260972971
286	0.05246043302
287	0.05230747425
288	0.05200159154
289	0.05174825663
290	0.05145685014
291	0.05142377069
292	0.0511237747
293	0.05110538175
294	0.05103672919
295	0.0507796251
296	0.05071598065
297	0.05053242968
298	0.05040396657
299	0.05027464387
300	0.05010873314
301	0.04995677176
302	0.0497544572
303	0.04959520029
304	0.04945581664
305	0.04935234424
306	0.04910901712
307	0.04888797005
308	0.0487293563
309	0.04851819
310	0.04835771986
311	0.04818970852
312	0.04803517272
313	0.04783081702
314	0.04769773789
315	0.04763374547
316	0.04757749451
317	0.04738614449
318	0.04718767638
319	0.04708305464
320	0.04691082413
321	0.04685042961
322	0.04651438488
323	0.04636237745
324	0.04625330957
325	0.04611385297
326	0.04592970458
327	0.04572810445
328	0.0455566812
329	0.04527383976
330	0.04509254393
331	0.04499870093
332	0.04480940771
333	0.04466354832
334	0.04446316276
335	0.04435982721
336	0.04426401936
337	0.04417269921
338	0.04404711794
339	0.04391485815
340	0.04379365415
341	0.0436350206
342	0.04350702607
343	0.04338450031
344	0.04325903226
345	0.04308677568
346	0.04298080959
347	0.04281940923
348	0.04269513453
349	0.04249863525
350	0.04238764215
351	0.04226204778
352	0.04223010295
353	0.04218304166
354	0.04209976727
355	0.04199650028
356	0.04185124473
357	0.04156287146
358	0.04148590803
359	0.04135859693
360	0.04125818472
361	0.04113834456
362	0.04102947075
363	0.0409374153
364	0.0407241032
365	0.04065873229
366	0.04060964597
367	0.0404802147
368	0.04034612507
369	0.0402291093
370	0.0401971633
371	0.04012568308
372	0.0400039732
373	0.03988834752
374	0.03973423809
375	0.03966203447
376	0.03959001556
377	0.03949085343
378	0.03936909403
379	0.03918021466
380	0.03903813933
381	0.03890716911
382	0.03876225707
383	0.03867185947
384	0.03855242946
385	0.03841880218
386	0.03832358793
387	0.03818886531
388	0.03811228175
389	0.03787607079
390	0.03780085483
391	0.03768334376
392	0.03755351396
393	0.03743648128
394	0.03738004865
395	0.03723473185
396	0.03715576345
397	0.03695953405
398	0.03677935465
399	0.03664127572
400	0.0364581289
401	0.03636674441
402	0.03630226893
403	0.03618558665
404	0.03611135797
405	0.03603765355
406	0.03590334196
407	0.03579546307
408	0.03569125897
409	0.03559392229
410	0.03546202005
411	0.03536733655
412	0.03532378845
413	0.03527215079
414	0.03517545424
415	0.03506185398
416	0.03494355463
417	0.03493514716
418	0.03475557238
419	0.03455806981
420	0.03453114034
421	0.03441147648
422	0.03434705553
423	0.03425805035
424	0.0341603539
425	0.03405401007
426	0.03394938973
427	0.03386313822
428	0.03380056989
429	0.03371558494
430	0.03357540135
431	0.03348471747
432	0.03340132639
433	0.03333014216
434	0.03326568644
435	0.03319749899
436	0.03307166208
437	0.03298666805
438	0.0329360281
439	0.0328334546
440	0.03265677484
441	0.03254781156
442	0.03245400171
443	0.03237144125
444	0.0322796912
445	0.03215365106
446	0.03200839335
447	0.03190962076
448	0.03189032572
449	0.03178060077
450	0.03170572738
451	0.03158894379
452	0.03154839164
453	0.03140961123
454	0.03129229595
455	0.03120390676
456	0.03109159717
457	0.03101450512
458	0.03095471788
459	0.03085447734
460	0.03078336623
461	0.03069795547
462	0.03064227738
463	0.03054462981
464	0.03043011601
465	0.03035847542
466	0.03028508178
467	0.03016206809
468	0.03009369596
469	0.03000754625
470	0.02993371514
471	0.02986763701
472	0.02983808516
