iter	RMSE
0	228.1477277
1	218.1243015
2	208.4056171
3	199.2396999
4	190.5226913
5	182.0478191
6	174.0526111
7	166.4702179
8	159.4225476
9	152.5278698
10	146.4936327
11	140.2182922
12	134.1412809
13	127.946697
14	122.3095776
15	117.1833383
16	112.0676354
17	107.213646
18	102.4131808
19	98.28746448
20	93.86102149
21	89.67387437
22	86.02149564
23	82.44871038
24	78.89975173
25	75.60822082
26	72.28919587
27	69.4429488
28	66.47112653
29	63.77546637
30	61.16449828
31	58.60204643
32	56.08243737
33	53.57229172
34	51.30570819
35	49.37956045
36	47.44645327
37	45.55719603
38	43.80657794
39	42.00669965
40	40.39848666
41	38.76800013
42	37.20514824
43	35.87615222
44	34.51417864
45	33.22605789
46	32.00170439
47	30.88716103
48	29.82244388
49	28.73711085
50	27.72954641
51	26.78179578
52	25.79095264
53	24.85367571
54	23.98918421
55	23.23945644
56	22.45628613
57	21.65318079
58	20.91835859
59	20.26734671
60	19.61040997
61	19.04039999
62	18.48986648
63	17.98038225
64	17.50606446
65	17.05961684
66	16.527654
67	15.98164507
68	15.56579274
69	15.13777167
70	14.72131717
71	14.36490692
72	13.95390105
73	13.58475267
74	13.32733637
75	13.01764161
76	12.75526661
77	12.46730329
78	12.20051781
79	11.96241611
80	11.75234547
81	11.48767247
82	11.2805443
83	11.05610454
84	10.89816214
85	10.72646305
86	10.55462125
87	10.36569025
88	10.25694013
89	10.11668509
90	9.968994565
91	9.819182788
92	9.680789956
93	9.523169957
94	9.435814866
95	9.35031928
96	9.206879375
97	9.122085952
98	9.002165692
99	8.934675871
100	8.851680479
101	8.734058357
102	8.668600862
103	8.614783486
104	8.539278751
105	8.475753364
106	8.428676021
107	8.368963948
108	8.279572933
109	8.239119043
110	8.186699961
111	8.144183208
112	8.060683477
113	8.023152979
114	7.949578264
115	7.902163702
116	7.82949267
117	7.790459683
118	7.745729899
119	7.672769225
120	7.598443724
121	7.565736664
122	7.524037445
123	7.491440761
124	7.464319684
125	7.432796982
126	7.397247564
127	7.335773219
128	7.303456954
129	7.240700334
130	7.20155443
131	7.16059255
132	7.131250028
133	7.076657934
134	7.023249221
135	7.006411445
136	6.946628891
137	6.924680637
138	6.900245777
139	6.854531528
140	6.821828538
141	6.779419125
142	6.759053946
143	6.738862907
144	6.719877628
145	6.698800954
146	6.675078159
147	6.656198241
148	6.633558468
149	6.613245795
150	6.595840483
151	6.555112958
152	6.541444415
153	6.494753491
154	6.482555134
155	6.446850719
156	6.42426413
157	6.404735296
158	6.390259487
159	6.375244106
160	6.360332867
161	6.345199291
162	6.305860197
163	6.290031968
164	6.272312017
165	6.264065928
166	6.250252802
167	6.240860898
168	6.226265053
169	6.216143149
170	6.183783495
171	6.15371935
172	6.146676083
173	6.1352767
174	6.123429479
175	6.112693702
176	6.090678632
177	6.077449524
178	6.06509196
179	6.024511027
180	5.98601316
181	5.949109329
182	5.913735826
183	5.90211472
184	5.871041516
185	5.8604395
186	5.8507973
187	5.842475473
188	5.832300414
189	5.823117294
190	5.81848502
191	5.803346858
192	5.779716102
193	5.768893834
194	5.748504704
195	5.73521833
196	5.727101181
197	5.713224377
198	5.693394576
199	5.684490038
200	5.67409903
201	5.661687244
202	5.65269303
203	5.643519526
204	5.630879542
205	5.613053511
206	5.605740268
207	5.581733248
208	5.563429799
209	5.54084748
210	5.523260124
211	5.497319586
212	5.49279915
213	5.485299379
214	5.468404753
215	5.450563798
216	5.436199272
217	5.42130068
218	5.399794083
219	5.380611347
220	5.373828399
221	5.366857011
222	5.358211203
223	5.339874543
224	5.335160004
225	5.325587117
226	5.31936126
227	5.312203727
228	5.304312877
229	5.282259435
230	5.273492896
231	5.267662297
232	5.252269845
233	5.245364121
234	5.240198421
235	5.233851567
236	5.226830835
