iter	Passed	Remaining
0	1	163393
1	3	156388
2	4	151631
3	5	149537
4	7	147617
5	8	147291
6	10	147249
7	11	146338
8	13	145993
9	14	145720
10	15	145009
11	17	144264
12	18	144086
13	20	143695
14	21	143373
15	22	143136
16	24	143476
17	25	143279
18	27	143278
19	28	143252
20	30	142978
21	31	142732
22	32	142530
23	34	142393
24	35	142245
25	36	142222
26	38	142232
27	40	142868
28	41	142989
29	42	142886
30	44	142670
31	45	142491
32	46	142247
33	48	142113
34	49	141988
35	51	141926
36	52	141773
37	53	141680
38	55	143045
39	57	143720
40	59	144316
41	60	144950
42	62	145537
43	64	146134
44	66	146818
45	67	147738
46	69	148241
47	71	149064
48	74	152365
49	77	155140
50	79	155628
51	81	156063
52	82	156376
53	84	156617
54	87	159628
55	90	161318
56	92	162833
57	94	163148
58	96	163764
59	98	164082
60	100	164471
61	103	167467
62	106	168786
63	108	169402
64	110	169499
65	112	169608
66	113	169562
67	115	170121
68	119	172718
69	121	173067
70	123	173319
71	124	172785
72	125	172327
73	127	171860
74	128	171363
75	130	170952
76	131	170519
77	133	171423
78	135	171647
79	137	171873
80	139	171484
81	140	171048
82	141	170613
83	143	170199
84	145	170769
85	146	170546
86	148	171107
87	151	171531
88	152	171533
89	154	171522
90	156	172021
91	158	172597
92	160	172187
93	161	171833
94	163	171845
95	165	172353
96	167	172584
97	169	172873
98	170	172537
99	172	172347
100	173	171985
101	175	171687
102	176	171353
103	178	171011
104	180	171615
105	182	171756
106	184	171880
107	185	171564
108	187	171581
109	188	171258
110	189	170933
111	191	170565
112	192	170256
113	194	170299
114	196	170663
115	198	170760
116	200	171104
117	201	170816
118	203	170479
119	204	170203
120	205	169911
121	207	169626
122	208	169351
123	210	169720
124	212	169968
125	214	170051
126	216	169950
127	217	169731
128	218	169496
129	220	169257
130	221	168992
131	223	168764
132	224	168659
133	226	169031
134	228	169257
135	230	169343
136	232	169135
137	233	168876
138	234	168671
139	236	168439
140	237	168218
141	238	167998
142	240	168232
143	243	168850
144	244	168641
145	246	168404
146	247	168180
147	248	167964
148	250	167749
149	251	167540
150	253	167327
151	254	167138
152	256	167125
153	258	167353
154	259	167176
155	260	166981
156	262	166773
157	263	166582
158	264	166377
159	266	166181
160	267	165963
161	269	165785
162	270	165594
163	271	165544
164	273	165501
165	274	165325
166	276	165149
167	277	164961
168	278	164764
169	280	164566
170	281	164398
171	282	164248
172	284	164058
173	285	163852
174	287	163907
175	289	163983
176	290	164019
177	292	163890
178	293	163718
179	294	163568
180	296	163418
181	297	163262
182	299	163114
183	300	162948
184	301	162909
185	303	162785
186	304	162630
187	305	162437
188	307	162275
189	308	162132
190	309	161979
191	311	161850
192	312	161727
193	314	161575
194	315	161438
195	316	161291
196	318	161130
197	319	161133
198	321	161095
199	322	160957
200	323	160824
201	325	160730
202	326	160582
203	327	160437
204	329	160303
205	330	160191
206	332	160074
207	333	160048
208	334	159943
209	336	159853
210	337	159754
211	339	159648
212	340	159520
213	341	159384
214	343	159276
215	344	159152
216	345	159007
217	347	158908
218	348	158883
219	350	158790
220	351	158666
221	352	158544
222	354	158428
223	355	158324
224	356	158204
225	358	158084
226	359	157949
227	360	157827
228	361	157711
229	363	157608
230	364	157532
231	366	157450
232	367	157344
233	368	157225
234	370	157117
235	371	157019
236	372	156928
237	374	156859
238	375	156758
239	376	156660
240	378	156574
241	380	156694
242	382	156953
243	384	157004
244	385	157059
245	387	157116
246	389	157248
247	391	157393
248	393	157520
249	394	157517
250	396	157500
251	397	157437
