iter	RMSE
0	225.8000937
1	215.6759248
2	206.4715296
3	197.3402859
4	188.4006253
5	180.2481477
6	172.352234
7	165.0162422
8	157.5544528
9	150.7890679
10	143.9496878
11	137.3045814
12	131.0601655
13	125.5682723
14	120.2723516
15	115.0355475
16	109.9800817
17	105.4446471
18	100.9281272
19	96.74357494
20	92.56896829
21	88.61259928
22	84.80095249
23	80.94785575
24	77.44831036
25	74.01026469
26	70.97712181
27	68.04266375
28	65.24205348
29	62.26072079
30	59.56193135
31	57.18186887
32	54.91827186
33	52.54944126
34	50.32495451
35	48.21868835
36	46.41395666
37	44.64071429
38	42.72648737
39	41.00822741
40	39.30786026
41	37.7327151
42	36.18969639
43	34.74770134
44	33.48082966
45	32.25836771
46	31.02750512
47	29.83508291
48	28.64927893
49	27.59334243
50	26.59025301
51	25.63870514
52	24.7233037
53	23.7483664
54	22.88834115
55	22.06433731
56	21.21653262
57	20.53565087
58	19.85651069
59	19.17995381
60	18.57105148
61	17.94999897
62	17.46182085
63	16.96577188
64	16.48242427
65	15.93717855
66	15.52254486
67	15.05018745
68	14.63960665
69	14.24880505
70	13.8677152
71	13.4895745
72	13.16748808
73	12.88868133
74	12.6077596
75	12.31729509
76	12.06262277
77	11.84396625
78	11.60667194
79	11.40804764
80	11.17205133
81	10.94329163
82	10.74869789
83	10.54587292
84	10.34084629
85	10.17817073
86	10.00722767
87	9.839434356
88	9.705646929
89	9.543654598
90	9.442221167
91	9.292445512
92	9.200539777
93	9.098232402
94	8.960204322
95	8.875391123
96	8.783772915
97	8.69630987
98	8.614490094
99	8.538393383
100	8.452569324
101	8.375173518
102	8.294092932
103	8.200056621
104	8.137843239
105	8.069295166
106	7.99579016
107	7.932394607
108	7.854106286
109	7.804604977
110	7.732548887
111	7.688354978
112	7.648695851
113	7.606900699
114	7.578716136
115	7.538455452
116	7.480463116
117	7.42264516
118	7.390783112
119	7.367630726
120	7.350708668
121	7.291936928
122	7.25894134
123	7.234462836
124	7.187400458
125	7.157449743
126	7.135841148
127	7.096253208
128	7.068096618
129	7.014555485
130	6.99394709
131	6.969285678
132	6.924515353
133	6.892962502
134	6.876156117
135	6.847234342
136	6.802760293
137	6.762419918
138	6.74502088
139	6.708905621
140	6.666835082
141	6.642862753
142	6.607814906
143	6.582638608
144	6.565055508
145	6.533393574
146	6.505688769
147	6.486966591
148	6.475615533
149	6.442210606
150	6.419367783
151	6.390841853
152	6.362688448
153	6.319683685
154	6.301589683
155	6.271468418
156	6.258979137
157	6.234634305
158	6.215133765
159	6.198195731
160	6.180259361
161	6.142365721
162	6.105297522
163	6.094220383
164	6.082911262
165	6.066781037
166	6.053280629
167	6.04604205
168	6.030121107
169	6.013944234
170	5.984268163
171	5.960188382
172	5.950830553
173	5.932258695
174	5.909231272
175	5.893241658
176	5.86802864
177	5.859841213
178	5.848631001
179	5.819174198
180	5.809600547
181	5.78839892
182	5.762005368
183	5.743273355
184	5.725571121
185	5.713975724
186	5.697391106
187	5.685716286
188	5.668452151
189	5.64699165
190	5.632644957
191	5.61310913
192	5.602257723
193	5.592921265
194	5.575282251
195	5.562598795
196	5.540699142
197	5.535402249
198	5.510298385
199	5.497999503
200	5.487230878
201	5.47566732
202	5.458017779
203	5.433813211
204	5.422673191
205	5.407884295
206	5.399234149
207	5.393480199
208	5.385787458
209	5.371675573
210	5.348230168
211	5.330024325
212	5.313357552
213	5.298382605
214	5.291613191
215	5.283257177
216	5.27539552
217	5.266932617
218	5.259531112
219	5.240979458
220	5.23020158
221	5.217217583
222	5.202255369
223	5.193578643
224	5.183292775
225	5.163535361
226	5.156245005
227	5.150351342
228	5.1374324
229	5.131935371
230	5.11421391
231	5.103461889
232	5.097665957
233	5.092192353
234	5.085651756
235	5.068353111
236	5.064427597
237	5.060712751
238	5.05212818
239	5.039319705
240	5.033069211
241	5.019675749
242	5.009798357
243	4.998874738
244	4.993227945
245	4.988788482
246	4.975423974
247	4.962815148
248	4.953518203
249	4.940429815
250	4.933898686
251	4.928525653
252	4.918734804
253	4.915974992
254	4.908371124
255	4.903337903
256	4.898176849
257	4.887117755
258	4.875416197
259	4.868930343
260	4.862996771
261	4.848531144
262	4.844242431
263	4.838666209
264	4.829467212
265	4.821346586
266	4.816943207
267	4.805972095
268	4.794623868
269	4.789714759
270	4.779672596
271	4.773425883
272	4.766603467
273	4.756490059
274	4.744758231
275	4.740494739
276	4.737080322
277	4.734849788
278	4.731649045
279	4.722433031
280	4.710293367
281	4.701182074
282	4.69782832
283	4.689868142
284	4.686036155
285	4.682692686
286	4.67128012
287	4.667191241
288	4.658843272
289	4.653798015
290	4.64475306
291	4.637607728
292	4.629880996
293	4.619972185
294	4.61852331
295	4.615488908
296	4.605981065
297	4.598689644
298	4.595552007
299	4.590026698
300	4.587195717
301	4.580495916
302	4.57655869
303	4.572554501
304	4.569514136
305	4.558404995
306	4.550435588
307	4.544905049
308	4.541012933
309	4.538233472
310	4.52850489
311	4.525877136
312	4.521846646
313	4.517975429
314	4.513821651
315	4.511220895
316	4.507220682
317	4.502485806
318	4.495207728
319	4.485004264
320	4.475747893
321	4.470816402
322	4.463139977
323	4.461357613
324	4.4507753
325	4.44574369
326	4.436074711
327	4.428248511
328	4.420242678
329	4.416972891
330	4.412645892
331	4.410428494
332	4.405902537
333	4.403692525
334	4.394653501
335	4.390867696
336	4.389558078
337	4.385676337
338	4.379416788
339	4.37390628
340	4.371972465
341	4.368376255
342	4.364788917
343	4.356616526
344	4.347832711
345	4.3444632
346	4.33629612
347	4.333898518
348	4.332253512
349	4.328429047
350	4.320351515
351	4.317223505
352	4.312107094
353	4.306666664
354	4.298878262
355	4.294332145
356	4.288269281
357	4.283297329
358	4.280363848
359	4.277990997
360	4.274972111
361	4.267153857
362	4.263654676
363	4.262445243
364	4.254565257
365	4.250927026
366	4.248172642
367	4.245925892
368	4.243260189
369	4.237020097
370	4.229999773
371	4.224044044
372	4.214641334
373	4.211463537
374	4.203069325
375	4.198796335
376	4.195195704
377	4.191164065
378	4.18859423
379	4.187895107
380	4.183901336
381	4.179287715
382	4.173429866
383	4.170247528
384	4.167910767
385	4.16584546
386	4.161976695
387	4.159288618
388	4.158155444
389	4.153233384
390	4.149733408
391	4.147274131
392	4.145113012
393	4.142762503
394	4.141762171
395	4.139645661
396	4.136955012
397	4.135301237
398	4.131587984
399	4.128993796
400	4.125705238
401	4.12437551
402	4.115780695
403	4.113516773
404	4.110923003
405	4.109096273
406	4.104532293
407	4.096801955
408	4.088415512
409	4.086421271
410	4.081151863
411	4.073664434
412	4.067022046
413	4.057447295
414	4.050794352
415	4.048984804
416	4.045196934
417	4.043158602
418	4.041668573
419	4.038615001
420	4.034101767
421	4.027140276
422	4.024084267
423	4.022708466
424	4.019887797
425	4.016584361
426	4.012645484
427	4.010950478
428	4.009339738
429	4.005327079
430	4.003609458
431	4.00166971
432	3.998314041
433	3.997311837
434	3.993428785
435	3.992014368
436	3.986658386
437	3.984556669
438	3.983711357
439	3.982367174
440	3.980530979
441	3.971352132
442	3.968062201
443	3.967383066
444	3.965026415
445	3.958105151
446	3.955142983
447	3.953640602
448	3.945933675
449	3.940779739
450	3.93697016
451	3.930477481
452	3.929061743
453	3.927770628
454	3.925328134
455	3.921613366
456	3.919478609
457	3.917352738
458	3.911530247
459	3.910280498
460	3.907785816
461	3.903468348
462	3.896873132
463	3.891609203
464	3.884878683
465	3.883557199
466	3.88039444
467	3.87842372
468	3.871364331
469	3.865158159
470	3.862453668
471	3.860820818
472	3.856023596
473	3.852857799
474	3.85112644
475	3.849401248
476	3.847907262
477	3.846447926
478	3.844019386
479	3.842052479
480	3.839690791
481	3.836127542
482	3.834958381
483	3.829937249
484	3.825192526
485	3.823143848
486	3.820055244
487	3.813998344
488	3.812028418
489	3.809223436
490	3.807731635
491	3.802850108
492	3.800886934
493	3.799428062
494	3.798024224
495	3.796115859
496	3.789342473
497	3.784077875
498	3.77957792
499	3.776236514
500	3.771923138
501	3.769468977
502	3.763958616
503	3.759964228
504	3.754563716
505	3.750678061
506	3.744854683
507	3.742812057
508	3.740824281
509	3.74007064
510	3.739293326
511	3.737517521
512	3.736148907
513	3.734662903
514	3.733757712
515	3.728436448
516	3.726835473
517	3.725426197
518	3.721997855
519	3.716345704
520	3.714937727
521	3.711384597
522	3.710535927
523	3.706782001
524	3.704869657
525	3.700055854
526	3.694654612
527	3.688657602
528	3.687878736
529	3.685978101
530	3.685023628
531	3.683097192
532	3.682723351
533	3.679702441
534	3.678074257
535	3.676754556
536	3.67487291
537	3.670461395
538	3.668759411
539	3.667589449
540	3.66560225
541	3.661936972
542	3.659798332
543	3.655789014
544	3.653936745
545	3.651182972
546	3.650102004
547	3.643557854
548	3.641055284
549	3.634055272
550	3.632172037
551	3.628877193
552	3.624614905
553	3.619333309
554	3.617084758
555	3.615347261
556	3.612389157
557	3.610217643
558	3.606646756
559	3.603308455
560	3.60176391
561	3.600298281
562	3.598093876
563	3.596353908
564	3.595237947
565	3.591578308
566	3.588329661
567	3.587743694
568	3.586068686
569	3.584975269
570	3.583384567
571	3.581390592
572	3.576535034
573	3.57492365
574	3.573738392
575	3.571593793
576	3.567687587
577	3.565713142
578	3.560106652
579	3.553390994
580	3.549031587
581	3.547009303
582	3.545177312
583	3.537551168
584	3.534899295
585	3.533010359
586	3.531319862
587	3.529875221
588	3.528394452
589	3.527907237
590	3.526651564
591	3.525766804
592	3.524595957
593	3.519055377
594	3.517505968
595	3.514525742
596	3.508950575
597	3.50759844
598	3.506408473
599	3.504438253
600	3.502063788
601	3.495591796
602	3.494247062
603	3.492696812
604	3.48894955
605	3.48670976
606	3.485812247
607	3.484193781
608	3.482435841
609	3.481489114
610	3.480967355
611	3.479679935
612	3.477190104
613	3.476329224
614	3.475319251
615	3.474288962
616	3.469703813
617	3.467179936
618	3.466149246
619	3.465883499
620	3.464917019
621	3.45933111
622	3.458164978
623	3.454180227
624	3.45361539
625	3.452895697
626	3.450303571
627	3.44623358
628	3.442423414
629	3.440321624
630	3.437306999
631	3.436243553
632	3.435145073
633	3.434012913
634	3.428372644
635	3.427354987
636	3.425203839
637	3.422610769
638	3.419688752
639	3.41467404
640	3.408142373
641	3.404069492
642	3.399246375
643	3.398553095
644	3.397225934
645	3.391434044
646	3.390712605
647	3.389864124
648	3.388611881
649	3.387340131
650	3.386549943
651	3.382692357
652	3.380960841
653	3.379761532
654	3.37558034
655	3.371651706
656	3.365178025
657	3.36236191
658	3.361455575
659	3.357489241
660	3.35315468
661	3.352055325
662	3.350862283
663	3.350083628
664	3.346554433
665	3.345048247
666	3.341741394
667	3.340507045
668	3.339513809
669	3.338019526
670	3.33489132
671	3.333809357
672	3.332492252
673	3.331746321
674	3.33121796
675	3.327488393
676	3.326505484
677	3.321645774
678	3.320730784
679	3.319360802
680	3.316283945
681	3.315621594
682	3.314597125
683	3.313648727
684	3.312406421
685	3.309068305
686	3.304667491
687	3.303749207
688	3.298442395
689	3.296223368
690	3.294352053
691	3.291885955
692	3.290291875
693	3.284822386
694	3.284281569
695	3.283243569
696	3.282753892
697	3.281707212
698	3.275805327
699	3.272227185
700	3.271014531
701	3.270150342
702	3.269101504
703	3.268491552
704	3.267727181
705	3.26499593
706	3.261212047
707	3.260285005
708	3.25926074
709	3.255921021
710	3.254640594
711	3.252791004
712	3.251815434
713	3.25118881
714	3.245894341
715	3.241385846
716	3.238361566
717	3.237468466
718	3.232114093
719	3.229840063
720	3.228603812
721	3.227995122
722	3.227525886
723	3.225393547
724	3.224513328
725	3.223762852
726	3.222692077
727	3.222135875
728	3.220892626
729	3.219468768
730	3.21872043
731	3.217965731
732	3.214487888
733	3.213425013
734	3.213127236
735	3.209145084
736	3.20889552
737	3.20847627
738	3.208224677
739	3.207478393
740	3.206805357
741	3.203621808
742	3.202575961
743	3.202033905
744	3.20085387
745	3.198539605
746	3.195188781
747	3.194636637
748	3.191720592
749	3.189172354
750	3.186878695
751	3.183192798
752	3.182358468
753	3.180578213
754	3.179763007
755	3.17848924
756	3.177215097
757	3.175926407
758	3.171024268
759	3.170458836
760	3.165274088
761	3.159415256
762	3.158416345
763	3.157199634
764	3.153155274
765	3.151723839
766	3.148102311
767	3.144796632
768	3.1407183
769	3.137821328
770	3.134010452
771	3.132481281
772	3.12641331
773	3.125866644
774	3.125354934
775	3.124623883
776	3.123437148
777	3.122661895
778	3.121831485
779	3.121141077
780	3.118380827
781	3.116623254
782	3.114885992
783	3.111939639
784	3.110899374
785	3.110050215
786	3.109052767
787	3.107619646
788	3.106366404
789	3.104628497
790	3.102197571
791	3.100191269
792	3.096882574
793	3.096036463
794	3.09390752
795	3.09126785
796	3.090318421
797	3.089966581
798	3.089116729
799	3.087706908
800	3.084310835
801	3.082538147
802	3.076935233
803	3.07614598
804	3.074919716
805	3.071174296
806	3.06910955
807	3.068447148
808	3.067886973
809	3.06682514
810	3.065755752
811	3.063886492
812	3.058864297
813	3.055962584
814	3.052973353
815	3.051930232
816	3.051713417
817	3.049041669
818	3.044200252
819	3.042969951
820	3.041196538
821	3.039247962
822	3.0357314
823	3.031200136
824	3.0291432
825	3.028103641
826	3.027279753
827	3.026919649
828	3.024339509
829	3.023482848
830	3.02240307
831	3.020638789
832	3.018906322
833	3.018121195
834	3.017340382
835	3.012706423
836	3.011634054
837	3.010614816
838	3.010069633
839	3.009081527
840	3.007877609
841	3.007274635
842	3.005559482
843	3.005333424
844	3.004268042
845	3.003047001
846	3.002497035
847	2.996927177
848	2.996529538
849	2.995770984
850	2.992143618
851	2.991294915
852	2.990854524
853	2.989562247
854	2.988759836
855	2.985730479
856	2.985011606
857	2.983852026
858	2.978474034
859	2.976845648
860	2.973962003
861	2.973340657
862	2.970835849
863	2.970349679
864	2.969572878
865	2.965507162
866	2.964653067
867	2.963740195
868	2.962654221
869	2.962374312
870	2.96159889
871	2.960213453
872	2.959695339
873	2.959081019
874	2.958201764
875	2.957359224
876	2.956625789
877	2.951943611
878	2.951322441
879	2.950592911
880	2.947169086
881	2.946323075
882	2.944857007
883	2.944409924
884	2.944094901
885	2.943447557
886	2.94273812
887	2.940379855
888	2.939561328
889	2.938548341
890	2.937435907
891	2.93597117
892	2.934721783
893	2.933739179
894	2.931746586
895	2.931006409
896	2.928398788
897	2.924898978
898	2.922734186
899	2.922230378
900	2.921480357
901	2.920754597
902	2.917714126
903	2.916925762
904	2.914379366
905	2.91384137
906	2.913506668
907	2.911425257
908	2.910117793
909	2.90667205
910	2.906283629
911	2.905670533
912	2.904412909
913	2.904022562
914	2.898983041
915	2.894564376
916	2.89238072
917	2.891157704
918	2.889694236
919	2.886087041
920	2.885489879
921	2.883416063
922	2.88230948
923	2.878747723
924	2.876120725
