iter	Passed	Remaining
0	2	245678
1	4	244181
2	7	234260
3	9	229343
4	11	225640
5	13	223260
6	15	222438
7	17	220798
8	20	222915
9	22	222375
10	24	221468
11	26	220609
12	28	220159
13	30	219631
14	32	219076
15	34	218675
16	37	218807
17	39	218329
18	41	217816
19	43	217476
20	45	217205
21	47	216930
22	49	216722
23	52	217576
24	54	219364
25	57	219836
26	60	223164
27	62	224582
28	65	224121
29	67	223590
30	69	223280
31	71	222532
32	73	221864
33	75	221880
34	78	223581
35	80	223844
36	83	225558
37	86	226441
38	88	228062
39	91	229109
40	93	228345
41	95	227740
42	97	227044
43	99	226792
44	101	226190
45	103	225434
46	105	224234
47	107	223048
48	108	221919
49	110	220768
50	112	219665
51	113	218610
52	115	217695
53	117	216614
54	118	215740
55	120	214809
56	122	213916
57	123	213092
58	125	212250
59	126	211527
60	128	210887
61	130	210902
62	132	210731
63	134	210748
64	137	210873
65	139	211115
66	141	210663
67	142	209960
68	144	209363
69	146	209086
70	148	208703
71	150	208214
72	151	207650
73	153	207214
74	155	206830
75	157	206457
76	158	206190
77	160	205854
78	162	205887
79	164	205795
80	166	205716
81	168	205615
82	170	205539
83	172	205525
84	175	206628
85	178	207649
86	180	207671
87	183	207806
88	185	208800
89	188	209354
90	191	210518
91	193	210416
92	195	209744
93	196	209094
94	198	208504
95	199	208054
96	201	207583
97	203	207147
98	204	206743
99	206	206352
100	209	207051
101	211	206914
102	213	206677
103	214	206415
104	216	206208
105	219	206778
106	221	206705
107	223	206313
108	224	205801
109	226	205262
110	227	204743
111	229	204283
112	230	203938
113	232	203654
114	234	203387
115	235	203162
116	237	203060
117	239	202754
118	241	202432
119	242	202158
120	244	201915
121	246	201640
122	247	201326
123	249	201185
124	251	201181
125	253	201220
126	255	201062
127	257	200831
128	258	200512
129	260	200246
130	262	199951
131	263	199684
132	265	199428
133	267	199152
134	268	198883
135	271	199068
136	273	199148
137	275	199130
138	276	198907
139	278	198857
140	280	198890
