iter	Passed	Remaining
0	225	225080
1	250	125237
2	273	90971
3	296	73794
4	317	63153
5	337	55953
6	358	50822
7	393	48769
8	413	45537
9	437	43329
10	460	41400
11	486	40039
12	506	38425
13	526	37066
14	546	35884
15	566	34849
16	590	34163
17	610	33329
18	631	32626
19	654	32091
20	679	31674
21	700	31123
22	720	30599
23	740	30126
24	760	29672
25	784	29406
26	805	29021
27	825	28667
28	850	28466
29	870	28156
30	896	28007
31	915	27698
32	935	27417
33	955	27141
34	977	26959
35	999	26773
36	1024	26652
37	1044	26442
38	1064	26232
39	1088	26124
40	1108	25927
41	1138	25967
42	1167	25975
43	1197	26026
44	1220	25909
45	1241	25743
46	1261	25580
47	1285	25502
48	1306	25357
49	1326	25212
50	1347	25065
51	1368	24946
52	1395	24930
53	1429	25040
54	1448	24885
55	1468	24762
56	1494	24724
57	1514	24597
58	1535	24495
59	1557	24404
60	1582	24360
61	1610	24361
62	1630	24243
63	1650	24145
64	1675	24106
65	1698	24041
66	1719	23943
67	1739	23836
68	1758	23728
69	1779	23644
70	1807	23649
71	1827	23560
72	1847	23463
73	1867	23366
74	1891	23333
75	1912	23256
76	1936	23207
77	1957	23140
78	1990	23202
79	2011	23128
80	2032	23061
81	2053	22990
82	2075	22925
83	2101	22920
84	2122	22844
85	2142	22766
86	2166	22739
87	2197	22769
88	2217	22699
89	2237	22628
90	2258	22560
91	2279	22498
92	2302	22454
93	2321	22377
94	2341	22304
95	2366	22287
96	2391	22261
97	2411	22196
98	2436	22173
99	2461	22149
100	2484	22113
101	2505	22054
102	2530	22036
103	2549	21968
104	2571	21922
105	2597	21910
106	2619	21863
107	2642	21821
108	2662	21766
109	2689	21761
110	2711	21715
111	2731	21657
112	2756	21640
113	2790	21689
114	2813	21648
115	2837	21622
116	2857	21567
117	2882	21546
118	2906	21515
119	2927	21471
120	2953	21458
121	2978	21435
122	3004	21425
123	3025	21376
124	3051	21358
125	3073	21320
126	3104	21339
127	3128	21310
128	3150	21273
129	3173	21239
130	3201	21237
131	3224	21203
132	3247	21167
